Pixel,  Wavelength(nm)
1541.896,    3372
1541.995,    3377
1542.095,    3375
1542.196,    3368
1542.295,    3412
1542.395,    3425
1542.495,    3412
1542.593,    3416
1542.694,    3464
1542.794,    3496
1542.892,    3506
1542.993,    3783
1543.091,    5612
1543.191,    20293
1543.291,    34576
1543.389,    21567
1543.489,    6879
1543.588,    4421
1543.686,    3530
1543.786,    3407
1543.884,    3407
1543.984,    3362
1544.083,    3382
1544.181,    3360
1544.281,    3385
1544.381,    3356
1544.479,    3369
1544.579,    3367
1544.677,    3359
1544.775,    3366
1544.875,    3369
1544.972,    3353
1545.071,    3373
1545.170,    3338
1545.268,    3359
1545.368,    3347
1545.466,    3355
1545.565,    3337
1545.664,    3370
1545.761,    3342
1545.860,    3344
1545.959,    3349
1546.056,    3348
1546.154,    3326
1546.252,    3346
1546.350,    3351
1546.450,    3327
1546.547,    3315
1546.645,    3355
1546.744,    3331
1546.841,    3345
1546.938,    3338
1547.037,    3341
1547.134,    3335
1547.233,    3350
1547.330,    3334
1547.428,    3355
1547.527,    3337
1547.623,    3381
1547.721,    3338
1547.819,    3321
1547.915,    3340
1548.013,    3344
1548.111,    3334
1548.208,    3348
1548.307,    3332
1548.404,    3353
1548.501,    3352
1548.599,    3332
1548.695,    3345
1548.793,    3351
1548.891,    3337
1548.987,    3340
1549.084,    3323
1549.182,    3341
1549.278,    3327
1549.376,    3327
1549.472,    3314
1549.570,    3339
1549.667,    3335
1549.762,    3352
1549.861,    3340
1549.958,    3342
1550.053,    3338
1550.150,    3351
1550.247,    3338
1550.343,    3338
1550.440,    3326
1550.536,    3311
1550.633,    3332
1550.731,    3322
1550.826,    3315
1550.922,    3328
1551.019,    3309
1551.114,    3359
1551.211,    3321
1551.308,    3346
1551.404,    3327
1551.501,    3331
1551.597,    3339
1551.693,    3336
1551.790,    3345
1551.885,    3356
1551.981,    3353
1552.078,    3333
1552.172,    3318
1552.268,    3322
1552.365,    3342
1552.459,    3340
1552.556,    3338
1552.652,    3339
1552.747,    3316
1552.845,    3329
1552.940,    3325
1553.036,    3331
1553.132,    3304
1553.226,    3319
1553.321,    3323
1553.418,    3333
1553.511,    3331
1553.607,    3323
1553.703,    3312
1553.797,    3318
1553.893,    3323
1553.989,    3327
1554.084,    3304
1554.180,    3317
1554.274,    3325
1554.369,    3336
1554.466,    3299
1554.560,    3297
1554.655,    3290
1554.751,    3327
1554.845,    3327
1554.940,    3327
1555.036,    3303
1555.129,    3314
1555.225,    3302
1555.320,    3331
1555.413,    3319
1555.509,    3327
1555.604,    3323
1555.698,    3310
1555.794,    3322
1555.888,    3334
1555.983,    3333
1556.079,    3338
1556.171,    3312
1556.266,    3319
1556.361,    3306
1556.454,    3335
1556.548,    3309
1556.643,    3321
1556.736,    3298
1556.832,    3315
1556.926,    3311
1557.019,    3315
1557.114,    3317
1557.209,    3322
1557.302,    3316
1557.397,    3336
1557.491,    3322
1557.584,    3328
1557.679,    3312
1557.772,    3320
1557.866,    3317
1557.961,    3313
1558.054,    3304
1558.148,    3312
1558.242,    3314
1558.334,    3304
1558.428,    3296
1558.523,    3303
1558.615,    3306
1558.710,    3319
1558.804,    3306
1558.896,    3308
1558.990,    3315
1559.084,    3315
1559.177,    3286
1559.271,    3295
1559.363,    3300
1559.455,    3319
1559.549,    3298
1559.642,    3315
1559.735,    3310
1559.829,    3312
1559.921,    3292
1560.015,    3288
1560.109,    3289
1560.201,    3316
1560.294,    3289
1560.387,    3299
1560.480,    3297
1560.573,    3332
1560.666,    3313
1560.758,    3326
1560.852,    3311
1560.945,    3322
1561.036,    3296
1561.129,    3334
1561.222,    3323
1561.314,    3324
1561.406,    3309
1561.499,    3331
1561.591,    3302
1561.684,    3325
1561.777,    3289
1561.868,    3316
1561.962,    3302
1562.054,    3308
1562.146,    3305
1562.238,    3327
1562.330,    3300
1562.422,    3309
1562.514,    3275
1562.606,    3304
1562.698,    3280
1562.790,    3298
1562.883,    3302
1562.975,    3295
1563.067,    3296
1563.159,    3300
1563.250,    3287
1563.342,    3302
1563.433,    3309
1563.525,    3303
1563.616,    3290
1563.709,    3300
1563.801,    3289
1563.892,    3316
1563.984,    3281
1564.075,    3297
1564.167,    3293
1564.258,    3296
1564.348,    3300
1564.440,    3299
1564.532,    3291
1564.623,    3302
1564.714,    3287
1564.806,    3289
1564.897,    3272
1564.989,    3300
1565.080,    3279
1565.170,    3286
1565.262,    3299
1565.353,    3291
1565.443,    3293
1565.534,    3291
1565.625,    3288
1565.715,    3296
1565.807,    3279
1565.897,    3302
1565.988,    3279
1566.080,    3299
1566.170,    3282
1566.260,    3298
1566.351,    3295
1566.441,    3300
1566.531,    3271
1566.623,    3298
1566.713,    3276
1566.804,    3306
1566.895,    3283
1566.985,    3298
1567.075,    3278
1567.166,    3284
1567.255,    3294
1567.345,    3300
1567.436,    3292
1567.525,    3286
1567.615,    3286
1567.706,    3293
1567.796,    3259
1567.886,    3294
1567.976,    3288
1568.066,    3287
1568.156,    3276
1568.247,    3282
1568.336,    3263
1568.426,    3295
1568.516,    3271
1568.606,    3303
1568.694,    3268
1568.784,    3304
1568.874,    3284
1568.964,    3289
1569.054,    3294
1569.143,    3313
1569.232,    3282
1569.321,    3307
1569.411,    3288
1569.501,    3320
1569.591,    3290
1569.681,    3318
1569.769,    3270
1569.858,    3302
1569.948,    3290
1570.037,    3292
1570.125,    3289
1570.215,    3299
1570.303,    3268
1570.393,    3300
1570.482,    3272
1570.571,    3294
2014_11_24 18_53_00
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.294, 34518.643
2014_11_24 18_53_00
2014_11_24 18_53_00
0
2014_11_24 18_53_00
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.294, 34544.551
2014_11_24 18_53_00
2014_11_24 18_53_00
0
2014_11_24 18_53_01
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.294, 34572.257
2014_11_24 18_53_01
2014_11_24 18_53_01
0
2014_11_24 18_53_01
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.294, 34494.844
2014_11_24 18_53_01
2014_11_24 18_53_01
0
2014_11_24 18_53_01
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.294, 34514.190
2014_11_24 18_53_01
2014_11_24 18_53_01
0
2014_11_24 18_53_02
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.294, 34564.382
2014_11_24 18_53_02
2014_11_24 18_53_02
0
2014_11_24 18_53_02
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.294, 34617.995
2014_11_24 18_53_02
2014_11_24 18_53_02
0
2014_11_24 18_53_02
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.293, 34569.081
2014_11_24 18_53_02
2014_11_24 18_53_02
0
2014_11_24 18_53_02
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.293, 34553.067
2014_11_24 18_53_02
2014_11_24 18_53_03
1
2014_11_24 18_53_03
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.293, 34580.586
2014_11_24 18_53_03
2014_11_24 18_53_03
0
2014_11_24 18_53_03
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.293, 34593.087
2014_11_24 18_53_03
2014_11_24 18_53_03
0
2014_11_24 18_53_03
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.293, 34561.618
2014_11_24 18_53_03
2014_11_24 18_53_03
0
2014_11_24 18_53_04
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.293, 34530.272
2014_11_24 18_53_04
2014_11_24 18_53_04
0
2014_11_24 18_53_04
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.293, 34552.610
2014_11_24 18_53_04
2014_11_24 18_53_04
0
2014_11_24 18_53_04
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.293, 34553.944
2014_11_24 18_53_04
2014_11_24 18_53_04
0
