Case Temperature: 31.099
Wavelength, Intensity
412,   1561.5983
413,   1561.6916
414,   1561.7838
415,   1561.8757
416,   1561.9688
417,   1562.0612
418,   1562.1533
419,   1562.2456
420,   1562.3375
421,   1562.4291
422,   1562.5214
423,   1562.6134
424,   1562.7055
425,   1562.7974
426,   1562.8902
427,   1562.9818
428,   1563.0743
429,   1563.1662
430,   1563.2572
431,   1563.3488
432,   1563.4407
433,   1563.5320
434,   1563.6235
435,   1563.7160
436,   1563.8078
437,   1563.8994
438,   1563.9908
439,   1564.0819
440,   1564.1740
441,   1564.2654
442,   1564.3555
443,   1564.4475
444,   1564.5395
445,   1564.6301
446,   1564.7217
447,   1564.8133
448,   1564.9041
449,   1564.9961
450,   1565.0868
451,   1565.1776
452,   1565.2694
453,   1565.3600
454,   1565.4502
455,   1565.5416
456,   1565.6325
457,   1565.7225
458,   1565.8146
459,   1565.9047
460,   1565.9955
461,   1566.0874
462,   1566.1778
463,   1566.2674
464,   1566.3586
465,   1566.4485
466,   1566.5384
467,   1566.6303
468,   1566.7204
469,   1566.8109
470,   1566.9021
471,   1566.9919
472,   1567.0824
473,   1567.1735
474,   1567.2628
475,   1567.3526
476,   1567.4436
477,   1567.5327
478,   1567.6228
479,   1567.7134
480,   1567.8036
481,   1567.8935
482,   1567.9838
483,   1568.0736
484,   1568.1638
485,   1568.2539
486,   1568.3436
487,   1568.4333
488,   1568.5229
489,   1568.6129
490,   1568.7017
491,   1568.7912
492,   1568.8814
493,   1568.9712
494,   1569.0609
495,   1569.1502
496,   1569.2389
497,   1569.3284
498,   1569.4187
499,   1569.5082
500,   1569.5979
501,   1569.6880
502,   1569.7768
503,   1569.8658
504,   1569.9550
505,   1570.0439
506,   1570.1324
507,   1570.2224
508,   1570.3107
509,   1570.3999
510,   1570.4889
511,   1570.5779
2014_11_24 18_54_31
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.294, 6380.810
2014_11_24 18_54_31
2014_11_24 18_54_31
0
2014_11_24 18_54_31
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.294, 6360.830
2014_11_24 18_54_31
2014_11_24 18_54_31
0
2014_11_24 18_54_32
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.295, 6407.376
2014_11_24 18_54_32
2014_11_24 18_54_32
0
2014_11_24 18_54_32
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.294, 6421.017
2014_11_24 18_54_32
2014_11_24 18_54_32
0
2014_11_24 18_54_32
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.295, 6389.731
2014_11_24 18_54_32
2014_11_24 18_54_32
0
2014_11_24 18_54_33
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.295, 6390.754
2014_11_24 18_54_33
2014_11_24 18_54_33
0
2014_11_24 18_54_33
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.294, 6391.191
2014_11_24 18_54_33
2014_11_24 18_54_33
0
2014_11_24 18_54_33
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.294, 6386.774
2014_11_24 18_54_33
2014_11_24 18_54_33
0
2014_11_24 18_54_34
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.294, 6414.958
2014_11_24 18_54_34
2014_11_24 18_54_34
0
2014_11_24 18_54_34
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.295, 6392.682
2014_11_24 18_54_34
2014_11_24 18_54_34
0
2014_11_24 18_54_34
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.295, 6385.458
2014_11_24 18_54_34
2014_11_24 18_54_34
0
2014_11_24 18_54_35
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.294, 6404.097
2014_11_24 18_54_35
2014_11_24 18_54_35
0
2014_11_24 18_54_35
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.295, 6387.469
2014_11_24 18_54_35
2014_11_24 18_54_35
0
2014_11_24 18_54_35
第1组数据：
Peak Count: 1
Peak#, Peak Pixel, Peak Power
01, 1543.294, 6440.073
2014_11_24 18_54_35
2014_11_24 18_54_35
0
