Case Temperature: 31.392
Wavelength, Intensity
198,   1541.0060
199,   1541.1070
200,   1541.2081
201,   1541.3070
202,   1541.4083
203,   1541.5077
204,   1541.6078
205,   1541.7084
206,   1541.8061
207,   1541.9072
208,   1542.0068
209,   1542.1067
210,   1542.2077
211,   1542.3061
212,   1542.4066
213,   1542.5066
214,   1542.6044
215,   1542.7052
216,   1542.8051
217,   1542.9036
218,   1543.0042
219,   1543.1025
220,   1543.2028
221,   1543.3030
222,   1543.4002
223,   1543.5007
224,   1543.5999
225,   1543.6980
226,   1543.7979
227,   1543.8959
228,   1543.9953
229,   1544.0949
230,   1544.1927
231,   1544.2926
232,   1544.3924
233,   1544.4902
234,   1544.5901
235,   1544.6884
236,   1544.7867
237,   1544.8862
238,   1544.9834
239,   1545.0826
240,   1545.1820
241,   1545.2792
242,   1545.3795
243,   1545.4775
244,   1545.5762
245,   1545.6756
246,   1545.7727
247,   1545.8713
248,   1545.9704
249,   1546.0672
250,   1546.1660
251,   1546.2641
252,   1546.3620
253,   1546.4617
254,   1546.5584
255,   1546.6565
256,   1546.7558
257,   1546.8522
258,   1546.9495
259,   1547.0483
260,   1547.1451
261,   1547.2447
262,   1547.3417
263,   1547.4391
264,   1547.5385
265,   1547.6344
266,   1547.7323
267,   1547.8306
268,   1547.9266
269,   1548.0250
270,   1548.1224
271,   1548.2195
272,   1548.3183
273,   1548.4153
274,   1548.5124
275,   1548.6108
276,   1548.7070
277,   1548.8045
278,   1548.9027
279,   1548.9983
280,   1549.0960
281,   1549.1932
282,   1549.2896
283,   1549.3874
284,   1549.4837
285,   1549.5812
286,   1549.6785
287,   1549.7740
288,   1549.8722
289,   1549.9696
290,   1550.0647
291,   1550.1616
292,   1550.2586
293,   1550.3548
294,   1550.4518
295,   1550.5479
296,   1550.6446
297,   1550.7426
298,   1550.8375
299,   1550.9336
300,   1551.0310
301,   1551.1259
302,   1551.2227
303,   1551.3196
304,   1551.4152
305,   1551.5125
306,   1551.6083
307,   1551.7043
308,   1551.8017
309,   1551.8969
310,   1551.9927
311,   1552.0895
312,   1552.1837
313,   1552.2798
314,   1552.3765
315,   1552.4711
316,   1552.5679
317,   1552.6639
318,   1552.7591
319,   1552.8563
320,   1552.9518
321,   1553.0475
322,   1553.1433
323,   1553.2373
324,   1553.3324
325,   1553.4292
326,   1553.5229
327,   1553.6190
328,   1553.7150
329,   1553.8088
330,   1553.9050
331,   1554.0009
332,   1554.0958
333,   1554.1921
334,   1554.2860
335,   1554.3807
336,   1554.4778
337,   1554.5719
338,   1554.6667
339,   1554.7631
340,   1554.8567
341,   1554.9520
342,   1555.0478
343,   1555.1411
344,   1555.2368
345,   1555.3316
346,   1555.4247
347,   1555.5202
348,   1555.6154
349,   1555.7096
350,   1555.8056
351,   1555.8996
352,   1555.9944
353,   1556.0904
354,   1556.1831
355,   1556.2775
356,   1556.3724
357,   1556.4657
358,   1556.5599
359,   1556.6546
360,   1556.7480
361,   1556.8433
362,   1556.9374
363,   1557.0306
364,   1557.1261
365,   1557.2202
366,   1557.3133
367,   1557.4087
368,   1557.5024
369,   1557.5960
370,   1557.6906
371,   1557.7833
372,   1557.8774
373,   1557.9727
374,   1558.0652
375,   1558.1593
376,   1558.2535
377,   1558.3455
378,   1558.4393
379,   1558.5342
380,   1558.6265
381,   1558.7212
382,   1558.8153
383,   1558.9075
384,   1559.0021
385,   1559.0958
386,   1559.1884
387,   1559.2823
388,   1559.3745
389,   1559.4671
390,   1559.5611
391,   1559.6535
392,   1559.7471
393,   1559.8408
394,   1559.9331
395,   1560.0266
396,   1560.1204
397,   1560.2129
398,   1560.3056
399,   1560.3991
400,   1560.4914
401,   1560.5847
402,   1560.6776
403,   1560.7694
404,   1560.8633
405,   1560.9563
406,   1561.0478
407,   1561.1407
408,   1561.2336
409,   1561.3252
410,   1561.4180
411,   1561.5103
412,   1561.6027
413,   1561.6960
414,   1561.7882
415,   1561.8801
416,   1561.9732
417,   1562.0656
418,   1562.1577
419,   1562.2500
420,   1562.3419
421,   1562.4335
422,   1562.5258
423,   1562.6178
424,   1562.7099
425,   1562.8018
426,   1562.8946
427,   1562.9862
428,   1563.0787
429,   1563.1706
430,   1563.2616
431,   1563.3532
432,   1563.4451
433,   1563.5364
434,   1563.6279
435,   1563.7204
436,   1563.8122
437,   1563.9038
438,   1563.9952
439,   1564.0863
440,   1564.1784
441,   1564.2698
442,   1564.3599
443,   1564.4519
444,   1564.5439
445,   1564.6345
446,   1564.7261
447,   1564.8177
448,   1564.9085
449,   1565.0005
450,   1565.0912
451,   1565.1820
452,   1565.2738
453,   1565.3644
454,   1565.4546
455,   1565.5460
456,   1565.6369
457,   1565.7269
458,   1565.8190
459,   1565.9091
460,   1565.9999
461,   1566.0918
462,   1566.1822
463,   1566.2718
464,   1566.3630
465,   1566.4529
466,   1566.5428
467,   1566.6347
468,   1566.7248
469,   1566.8153
470,   1566.9065
471,   1566.9963
472,   1567.0868
473,   1567.1779
474,   1567.2672
475,   1567.3570
476,   1567.4480
477,   1567.5371
478,   1567.6272
479,   1567.7178
480,   1567.8080
481,   1567.8979
482,   1567.9882
483,   1568.0780
484,   1568.1682
485,   1568.2583
486,   1568.3480
487,   1568.4377
488,   1568.5273
489,   1568.6173
490,   1568.7061
491,   1568.7956
492,   1568.8858
493,   1568.9756
494,   1569.0653
495,   1569.1546
496,   1569.2433
497,   1569.3328
498,   1569.4231
499,   1569.5126
500,   1569.6023
501,   1569.6924
502,   1569.7812
503,   1569.8702
504,   1569.9594
505,   1570.0483
506,   1570.1368
507,   1570.2268
508,   1570.3151
509,   1570.4043
510,   1570.4933
511,   1570.5823
2014_11_24 18_55_34
第1组数据：
Peak Count: 0
Peak#, Peak Pixel, Peak Power
2014_11_24 18_55_34
2014_11_24 18_55_34
0
2014_11_24 18_55_34
第1组数据：
Peak Count: 0
Peak#, Peak Pixel, Peak Power
2014_11_24 18_55_34
2014_11_24 18_55_34
0
2014_11_24 18_55_35
第1组数据：
Peak Count: 0
Peak#, Peak Pixel, Peak Power
2014_11_24 18_55_35
2014_11_24 18_55_35
0
2014_11_24 18_55_35
第1组数据：
Peak Count: 0
Peak#, Peak Pixel, Peak Power
2014_11_24 18_55_35
2014_11_24 18_55_35
0
2014_11_24 18_55_35
第1组数据：
Peak Count: 0
Peak#, Peak Pixel, Peak Power
2014_11_24 18_55_35
2014_11_24 18_55_35
0
2014_11_24 18_55_36
第1组数据：
Peak Count: 0
Peak#, Peak Pixel, Peak Power
2014_11_24 18_55_36
2014_11_24 18_55_36
0
2014_11_24 18_55_36
第1组数据：
Peak Count: 0
Peak#, Peak Pixel, Peak Power
2014_11_24 18_55_36
2014_11_24 18_55_36
0
2014_11_24 18_55_37
第1组数据：
Peak Count: 0
Peak#, Peak Pixel, Peak Power
2014_11_24 18_55_37
2014_11_24 18_55_37
0
2014_11_24 18_55_37
第1组数据：
Peak Count: 0
Peak#, Peak Pixel, Peak Power
2014_11_24 18_55_37
2014_11_24 18_55_37
0
2014_11_24 18_55_38
第1组数据：
Peak Count: 0
Peak#, Peak Pixel, Peak Power
2014_11_24 18_55_38
2014_11_24 18_55_38
0
2014_11_24 18_55_38
第1组数据：
Peak Count: 0
Peak#, Peak Pixel, Peak Power
2014_11_24 18_55_38
2014_11_24 18_55_38
0
2014_11_24 18_55_38
第1组数据：
Peak Count: 0
Peak#, Peak Pixel, Peak Power
2014_11_24 18_55_38
2014_11_24 18_55_38
0
2014_11_24 18_55_38
第1组数据：
Peak Count: 0
Peak#, Peak Pixel, Peak Power
2014_11_24 18_55_38
2014_11_24 18_55_39
1
2014_11_24 18_55_39
第1组数据：
Peak Count: 0
Peak#, Peak Pixel, Peak Power
2014_11_24 18_55_39
2014_11_24 18_55_39
0
2014_11_24 18_55_39
第1组数据：
Peak Count: 0
Peak#, Peak Pixel, Peak Power
2014_11_24 18_55_39
2014_11_24 18_55_39
0
2014_11_24 18_55_40
第1组数据：
Peak Count: 0
Peak#, Peak Pixel, Peak Power
2014_11_24 18_55_40
2014_11_24 18_55_40
0
